step,rl_x,rl_y
0,0.0,0.0
1,0.05251,0.0
2,0.10942,0.00077
3,0.17188,0.00249
4,0.24095,0.00539
5,0.31634,0.00967
6,0.39778,0.01557
7,0.48473,0.02329
8,0.57621,0.03296
9,0.67167,0.04474
10,0.77034,0.05876
11,0.872,0.07518
12,0.97569,0.094
13,1.08076,0.11524
14,1.18677,0.13893
15,1.29335,0.16509
16,1.40025,0.19375
17,1.50705,0.22486
18,1.6137,0.25846
19,1.71985,0.29444
20,1.82501,0.33264
21,1.92935,0.37316
22,2.03259,0.41588
23,2.13428,0.46059
24,2.23461,0.50736
25,2.33365,0.55622
26,2.43113,0.60699
27,2.52687,0.65954
28,2.62124,0.71406
29,2.71363,0.77017
30,2.80439,0.82803
31,2.89382,0.88781
32,2.98024,0.94832
33,3.06569,1.01092
34,3.14937,1.07503
35,3.23129,1.14061
36,3.31146,1.20765
37,3.38972,1.27597
38,3.46591,1.3454
39,3.54046,1.41627
40,3.61339,1.48854
41,3.68427,1.56174
42,3.75371,1.63648
43,3.82136,1.71233
44,3.88743,1.78955
45,3.95158,1.8677
46,4.01435,1.94744
47,4.07448,2.02715
48,4.13337,2.10856
49,4.19051,2.191
50,4.24591,2.27448
51,4.29948,2.35882
52,4.35115,2.44388
53,4.40118,2.53009
54,4.44958,2.61748
55,4.49619,2.70573
56,4.54093,2.7947
57,4.58364,2.88411
58,4.62466,2.97458
59,4.66389,3.06592
60,4.70134,3.15814
61,4.73695,3.25109
62,4.77076,3.34481
63,4.80302,3.44007
64,4.83266,3.5338
65,4.86089,3.62954
66,4.88686,3.72462
67,4.91108,3.82067
68,4.93335,3.91712
69,4.95365,4.01384
70,4.97212,4.11136
71,4.98862,4.20913
72,5.00318,4.30715
73,5.01576,4.4054
74,5.02645,4.50428
75,5.03508,4.60252
76,5.04184,4.70176
77,5.04661,4.80087
78,5.04941,4.90014
79,5.05025,4.99988
80,5.04912,5.09938
81,5.04599,5.19871
82,5.04088,5.29812
83,5.03379,5.39759
84,5.02469,5.49706
85,5.01359,5.59655
86,5.00063,5.69475
87,4.98566,5.79319
88,4.96871,5.89142
89,4.94979,5.98928
90,4.9289,6.08676
91,4.90604,6.18378
92,4.88126,6.28028
93,4.8546,6.37611
94,4.82594,6.47163
95,4.79542,6.56648
96,4.76307,6.66057
97,4.7288,6.75414
98,4.69263,6.84715
99,4.65471,6.93916
100,4.6149,7.03058
101,4.57322,7.1213
102,4.52971,7.21124
103,4.48447,7.30017
104,4.43746,7.38818
105,4.3886,7.47539
106,4.33793,7.56166
107,4.28541,7.64707
108,4.23139,7.73107
109,4.17566,7.81403
110,4.11834,7.89575
111,4.05918,7.97662
112,3.99847,8.05627
113,3.93617,8.13473
114,3.87245,8.21178
115,3.80725,8.28749
116,3.74064,8.36179
117,3.67253,8.43477
118,3.60267,8.50668
119,3.53169,8.57688
120,3.45943,8.64553
121,3.38582,8.7127
122,3.31074,8.7785
123,3.23447,8.84268
124,3.15692,8.90533
125,3.07791,8.9666
126,2.9978,9.02619
127,2.91618,9.08439
128,2.83366,9.14078
129,2.74988,9.1956
130,2.66497,9.24877
131,2.5792,9.30012
132,2.49293,9.34945
133,2.40556,9.39713
134,2.31687,9.44328
135,2.22736,9.48762
136,2.13675,9.53029
137,2.04518,9.57122
138,1.95301,9.61024
139,1.86008,9.64741
140,1.76645,9.68271
141,1.67211,9.71614
142,1.5769,9.74775
143,1.48082,9.77755
144,1.38425,9.80542
145,1.28736,9.8313
146,1.19014,9.85521
147,1.09257,9.87715
148,0.99446,9.89715
149,0.89591,9.9152
150,0.79686,9.93129
151,0.69781,9.94536
152,0.59845,9.95744
153,0.49879,9.96753
154,0.39884,9.97564
155,0.29872,9.98176
156,0.19872,9.98585
157,0.09848,9.98795
158,-0.00193,9.98802
159,-0.1024,9.98609
160,-0.20253,9.98215
161,-0.30262,9.97621
162,-0.40234,9.96827
163,-0.50173,9.95834
164,-0.60109,9.94639
165,-0.70017,9.93245
166,-0.799,9.91652
167,-0.89749,9.89863
168,-0.99572,9.87875
169,-1.09326,9.85698
170,-1.19043,9.83325
171,-1.287,9.80762
172,-1.38309,9.78006
173,-1.47859,9.75058
174,-1.57323,9.71929
175,-1.6671,9.68617
176,-1.76057,9.65107
177,-1.85336,9.61409
178,-1.94548,9.57522
179,-2.03685,9.53451
180,-2.12741,9.49199
181,-2.21717,9.44763
182,-2.30597,9.4015
183,-2.39392,9.35356
184,-2.48089,9.30387
185,-2.5668,9.25247
186,-2.65168,9.19938
187,-2.73565,9.14447
188,-2.8187,9.08776
189,-2.90066,9.02937
190,-2.98153,8.96928
191,-3.0609,8.90782
192,-3.13873,8.84504
193,-3.21511,8.78086
194,-3.2903,8.71506
195,-3.36421,8.6477
196,-3.43669,8.57893
197,-3.50767,8.50883
198,-3.57739,8.43711
199,-3.64534,8.36435
200,-3.71193,8.2901
201,-3.77687,8.21468
202,-3.84041,8.13781
203,-3.90234,8.05976
204,-3.96265,7.98056
205,-4.02149,7.89997
206,-4.07879,7.81811
207,-4.13436,7.73526
208,-4.18826,7.6513
209,-4.24071,7.5659
210,-4.29147,7.47943
211,-4.34066,7.39166
212,-4.38801,7.30304
213,-4.43347,7.21364
214,-4.47705,7.12348
215,-4.51886,7.03234
216,-4.55875,6.94065
217,-4.59679,6.84824
218,-4.63309,6.75477
219,-4.66755,6.66054
220,-4.70004,6.56591
221,-4.73065,6.47062
222,-4.75924,6.3751
223,-4.78583,6.27928
224,-4.8106,6.18255
225,-4.8334,6.08554
226,-4.85428,5.98797
227,-4.87318,5.89011
228,-4.89013,5.79186
229,-4.90512,5.69324
230,-4.91816,5.59429
231,-4.92927,5.49478
232,-4.93839,5.39524
233,-4.94552,5.29549
234,-4.95066,5.19547
235,-4.95379,5.09556
236,-4.95494,4.99569
237,-4.9541,4.89601
238,-4.95125,4.79588
239,-4.94641,4.69592
240,-4.93952,4.59545
241,-4.93064,4.49537
242,-4.91982,4.39598
243,-4.90702,4.29684
244,-4.89228,4.19818
245,-4.87551,4.09944
246,-4.85676,4.00099
247,-4.83606,3.90309
248,-4.81337,3.80548
249,-4.78876,3.70844
250,-4.76228,3.61214
251,-4.73381,3.51613
252,-4.70352,3.42109
253,-4.67131,3.3266
254,-4.63726,3.23294
255,-4.60133,3.13987
256,-4.56348,3.04736
257,-4.52381,2.95566
258,-4.48239,2.86492
259,-4.43908,2.77482
260,-4.39395,2.68556
261,-4.34718,2.59748
262,-4.29868,2.51041
263,-4.24843,2.42431
264,-4.19661,2.33944
265,-4.14299,2.25543
266,-4.08759,2.17231
267,-4.03056,2.0903
268,-3.97197,2.0095
269,-3.91181,1.92992
270,-3.8499,1.85131
271,-3.78637,1.77387
272,-3.72131,1.6977
273,-3.65508,1.62324
274,-3.58718,1.5499
275,-3.51781,1.47791
276,-3.44691,1.4072
277,-3.37455,1.33787
278,-3.30083,1.27
279,-3.22586,1.2037
280,-3.14959,1.13891
281,-3.07197,1.07561
282,-2.99299,1.0138
283,-2.91264,0.95347
284,-2.83163,0.89513
285,-2.74957,0.8385
286,-2.66643,0.78354
287,-2.582,0.73014
288,-2.49638,0.67835
289,-2.40979,0.62829
290,-2.32232,0.58003
291,-2.23393,0.53355
292,-2.14453,0.48882
293,-2.05411,0.44584
294,-1.96292,0.40472
295,-1.87085,0.36538
296,-1.77811,0.32793
297,-1.68452,0.29228
298,-1.59005,0.25843
299,-1.49505,0.22652
300,-1.39964,0.19657
